"BAU","plus1","diff","year","SCC_j_1.5","SCC_j_3"
37797073391259.5,37797073391270.3,10.8046875,156,1.05903330829854,0.107400216408166
38774239128802.8,38774239128813.7,10.8984375,157,1.05243578076963,0.1051768014443
39774690506030.2,39774690506041.3,11.109375,158,1.05695123700366,0.10408978783714
40798942915431.2,40798942915442.6,11.40625,159,1.06915868583439,0.103758613085784
41847522519054.2,41847522519065.8,11.59375,160,1.07067379025456,0.102392460313409
42920966464799,42920966464810.8,11.8046875,161,1.0740430583529,0.101218830982624
44019823106938.1,44019823106950.1,12,162,1.07567828543395,0.0998966314273391
45144652230946.3,45144652230958.6,12.3046875,163,1.08669007822664,0.0994495818783242
46296025282721.9,46296025282734.4,12.5,164,1.08762475575112,0.0980855792913045
47474525602282.6,47474525602295.3,12.7109375,165,1.08963391478268,0.0968357023707235
48680748662022.6,48680748662035.4,12.796875,166,1.08078899628742,0.0946508735973918
49915302309617.7,49915302309630.9,13.203125,167,1.09862045130475,0.0948113235295187
51178807015667.7,51178807015681,13.296875,168,1.09007025278846,0.0927034369203429
52471896126165,52471896126178.6,13.6015625,169,1.09856981360943,0.0920656929473702
53795216119884.3,53795216119898.2,13.8984375,170,1.10595841154152,0.0913351147110921
55149426870784.9,55149426870799,14.1015625,171,1.10553885801368,0.0899708476200337
56535201915522.5,56535201915536.9,14.3984375,172,1.11213138944596,0.0891892919687611
57953228726168,57953228726182.6,14.6015625,173,1.11115340798201,0.0878131300747591
59404208988232.5,59404208988247.4,14.8984375,174,1.11699022370262,0.0869888570558814
60888858884099.4,60888858884114.6,15.1953125,175,1.12241184802767,0.086138104873557
62407909381967.4,62407909381982.9,15.5,176,1.12799782516083,0.0853061122964719
63962106530409,63962106530424.7,15.6953125,177,1.12533153441727,0.0838650855404459
65552211758651.1,65552211758667.1,16.0078125,178,1.13077570343355,0.0830435662201519
67179002182688.6,67179002182704.9,16.296875,179,1.13418205558035,0.0820807114695953
68843270917339.4,68843270917356,16.59375,180,1.13777644349742,0.0811416987784585
70545827394356.3,70545827394373.2,16.90625,181,1.14207240902861,0.0802619330428868
72287497686709.7,72287497686726.8,17.09375,182,1.13767354331725,0.0787884309431636
74069124839159.4,74069124839176.8,17.390625,183,1.14032713476292,0.0778221221133288
75891569205234.7,75891569205252.5,17.796875,184,1.14971970885502,0.0773204555928449
77755708790745.1,77755708790763.1,17.984375,185,1.14466270636859,0.0758592909700764
79662439603944.9,79662439603963.3,18.40625,186,1.15420103153154,0.0753774638876705
81612676012480.3,81612676012499,18.6875,187,1.15451958626688,0.0743002347319415
83607351107244.9,83607351107263.9,19,188,1.1564787525747,0.0733424403627308
